age,avg_flight_price,total_mileage,total_flight_price,total_flights,avg_flight_distance,avg_flight_time,total_days_hotel,total_hotel_price,avg_hotel_price_daily,total_hotels,total_price
55,931.24,124929.96,225359.62,242,516.24,1.34,81,15682.47,193.61,33,241042.09
36,913.02,110443.96,200863.52,220,502.02,1.3,88,18206.25,206.89,33,219069.77
49,935.79,98160.12,175929.36,188,522.13,1.36,65,11886.53,182.87,26,187815.88999999998
44,882.3,4122.52,7058.4,8,515.31,1.34,6,1078.42,179.74,3,8136.82
49,948.61,79195.52,140394.16,148,535.1,1.39,52,11958.41,229.97,23,152352.57
59,890.96,193126.68,352820.64,396,487.69,1.27,149,30973.71,207.88,61,383794.35000000003
48,896.55,135069.58,245654.66,274,492.95,1.28,108,24120.75,223.34,41,269775.41000000003
32,932.58,126654.64,225683.92,242,523.37,1.36,112,24853.26,221.9,47,250537.18000000002
55,934.81,150749.66,284181.74,304,495.89,1.29,113,24178.36,213.97,42,308360.1
36,929.03,129240.94,243404.73,262,493.29,1.28,139,29110.89,209.43,54,272515.62
55,907.85,85607.1,163413.24,180,475.6,1.24,57,12959.66,227.36,25,176372.9
27,952.36,132796.32,251422.22,264,503.02,1.31,112,21511.06,192.06,41,272933.28
23,920.01,98754.84,184001.96,200,493.77,1.28,53,8885.72,167.66,22,192887.68
29,904.21,114097.84,207967.76,230,496.08,1.29,110,23181.69,210.74,41,231149.45
42,945.66,193716.64,357457.71,378,512.48,1.33,126,24679.43,195.87,54,382137.14
60,1028.65,41334.32,76119.79,74,558.57,1.45,22,4299.34,195.42,12,80419.12999999999
54,954.92,137354.16,250188.9,262,524.25,1.36,90,18349.26,203.88,34,268538.16
56,919.14,171569.48,314344.61,342,501.67,1.3,140,29482.03,210.59,53,343826.64
59,924.61,148661.94,284780.28,308,482.67,1.25,110,22853.84,207.76,47,307634.12000000005
24,932.07,111416.72,221831.67,238,468.14,1.22,92,18701.45,203.28,36,240533.12000000002
31,922.25,194067.18,354142.22,384,505.38,1.31,123,26676.81,216.88,50,380819.02999999997
60,897.29,36263.5,69988.64,78,464.92,1.21,27,5791.49,214.5,9,75780.13
35,900.21,132499.12,252057.76,280,473.21,1.23,116,24718.53,213.09,48,276776.29000000004
41,920.42,54500.32,97564.6,106,514.15,1.34,35,6374.09,182.12,13,103938.69
62,962.12,174984.82,315574.2,328,533.49,1.39,144,32314.93,224.41,57,347889.13
37,914.37,176898.92,314542.93,344,514.24,1.34,139,32319.29,232.51,54,346862.22
39,914.5,192520.58,363971.82,398,483.72,1.26,130,25507.18,196.21,58,389479.0
59,946.88,80963.36,149607.24,158,512.43,1.33,71,14675.66,206.7,29,164282.9
23,898.4,103566.18,190461.71,212,488.52,1.27,64,12283.5,191.93,24,202745.21
41,1001.81,8060.82,16028.9,16,503.8,1.31,7,1924.8,274.97,3,17953.7
49,831.93,48226.76,86520.41,104,463.72,1.21,60,13107.28,218.45,21,99627.69
29,1061.71,16643.6,27604.45,26,640.14,1.66,9,1786.17,198.46,3,29390.620000000003
41,1035.03,36356.44,64171.89,62,586.39,1.52,15,3975.23,265.02,5,68147.12
34,900.2,33420.66,64814.76,72,464.18,1.21,28,6840.89,244.32,10,71655.65000000001
46,943.23,150481.62,284854.56,302,498.28,1.29,97,21962.5,226.42,43,306817.06
30,949.69,136008.34,252616.65,266,511.31,1.33,89,20113.14,225.99,35,272729.79
24,828.74,45104.32,81216.63,98,460.25,1.2,43,9148.62,212.76,17,90365.25
33,946.49,140765.68,263124.89,278,506.35,1.32,116,23079.22,198.96,43,286204.11
33,949.7,109980.6,205135.98,216,509.17,1.32,78,16251.29,208.35,35,221387.27000000002
37,919.5,133444.18,253781.47,276,483.49,1.26,108,24407.33,225.99,43,278188.8
51,896.3,122587.88,224074.08,250,490.35,1.27,86,18825.69,218.9,32,242899.77
55,945.62,158576.24,289358.25,306,518.22,1.35,116,23305.05,200.91,46,312663.3
57,907.32,64957.28,119766.18,132,492.1,1.28,42,8503.59,202.47,16,128269.76999999999
34,954.48,185793.0,339794.27,356,521.89,1.36,136,29430.11,216.4,52,369224.38
44,898.42,99742.28,186870.99,208,479.53,1.25,71,15220.71,214.38,27,202091.69999999998
62,1030.66,34217.4,65962.18,64,534.65,1.39,16,4128.62,258.04,7,70090.79999999999
30,920.25,36044.96,69938.71,76,474.28,1.23,37,6218.4,168.06,13,76157.11
32,946.25,172926.98,321725.98,340,508.61,1.32,114,23817.76,208.93,45,345543.74
53,940.29,52264.0,95909.25,102,512.39,1.33,36,7167.58,199.1,13,103076.83
60,891.18,66198.92,124765.86,140,472.85,1.23,62,13602.47,219.39,24,138368.33
59,930.4,168261.2,310753.92,334,503.78,1.31,142,28867.86,203.29,54,339621.77999999997
47,937.67,168832.42,305679.33,326,517.89,1.35,158,34964.09,221.29,67,340643.42000000004
58,894.41,28786.78,57242.35,64,449.79,1.17,17,3215.86,189.17,8,60458.21
21,897.82,140014.68,256775.83,286,489.56,1.27,125,26175.07,209.4,52,282950.89999999997
36,912.62,157663.72,297513.6,326,483.63,1.26,134,24915.24,185.93,52,322428.83999999997
65,909.96,105135.3,181992.79,200,525.68,1.37,83,16218.38,195.4,36,198211.17
35,826.84,4909.76,8268.45,10,490.98,1.28,5,1564.91,312.98,2,9833.36
29,926.69,68863.26,131590.44,142,484.95,1.26,49,9099.8,185.71,24,140690.24
44,969.62,44222.68,83387.69,86,514.22,1.34,42,8351.09,198.84,13,91738.78
29,947.78,149256.66,278647.06,294,507.68,1.32,107,21447.54,200.44,46,300094.6
51,898.18,134700.62,249694.13,278,484.53,1.26,100,21086.33,210.86,38,270780.46
35,926.92,160629.04,302174.48,326,492.73,1.28,114,24974.94,219.08,43,327149.42
50,931.1,119600.02,223463.66,240,498.33,1.29,78,17474.48,224.03,29,240938.14
29,985.75,24130.18,49287.36,50,482.6,1.25,29,6395.92,220.55,11,55683.28
63,865.55,66672.56,129831.96,150,444.48,1.16,64,11469.52,179.21,23,141301.48
45,940.24,185048.1,346009.29,368,502.85,1.31,132,28558.13,216.35,52,374567.42
49,1010.06,11631.96,22221.21,22,528.73,1.37,4,663.96,165.99,1,22885.17
46,956.11,156857.22,273448.01,286,548.45,1.43,117,22329.52,190.85,45,295777.53
47,901.81,167402.04,317436.78,352,475.57,1.24,154,29710.03,192.92,59,347146.81000000006
38,983.56,79467.62,145566.87,148,536.94,1.39,35,7641.45,218.33,16,153208.32
51,956.9,192665.62,346399.26,362,532.23,1.38,110,21477.65,195.25,45,367876.91000000003
33,974.88,91283.68,171579.55,176,518.66,1.35,59,11073.48,187.69,22,182653.03
63,920.51,201777.46,368203.45,400,504.44,1.31,144,30098.43,209.02,64,398301.88
56,968.38,173764.42,319564.63,330,526.56,1.37,172,39188.11,227.84,62,358752.74
45,944.01,174025.44,311523.48,330,527.35,1.37,130,27533.94,211.8,50,339057.42
45,887.0,112507.78,205784.53,232,484.95,1.26,97,20545.11,211.81,36,226329.64
40,867.6,127410.54,230782.63,266,478.99,1.24,132,28671.15,217.21,49,259453.78
33,977.44,92821.76,181804.36,186,499.04,1.3,81,18172.17,224.35,30,199976.52999999997
25,953.86,191855.52,349112.54,366,524.2,1.36,114,25830.75,226.59,46,374943.29
49,942.12,131168.96,243067.23,258,508.41,1.32,93,19362.24,208.2,40,262429.47000000003
26,899.72,71391.94,131359.52,146,488.99,1.27,34,5656.81,166.38,15,137016.33
38,931.54,167799.5,301819.82,324,517.9,1.35,112,23830.79,212.77,43,325650.61
25,900.58,192950.12,342220.56,380,507.76,1.32,169,35136.67,207.91,69,377357.23
47,1051.15,36160.9,65171.23,62,583.24,1.52,36,9335.77,259.33,11,74507.0
41,900.07,56056.64,102608.08,114,491.72,1.28,50,11959.84,239.2,20,114567.92
44,924.49,185605.4,347609.86,376,493.63,1.28,135,29019.0,214.96,51,376628.86
31,1031.91,17640.84,37148.59,36,490.02,1.27,16,2716.81,169.8,7,39865.399999999994
51,950.95,67404.12,121721.97,128,526.59,1.37,53,11784.91,222.36,23,133506.88
39,881.5,44744.34,77572.03,88,508.46,1.32,21,3961.6,188.65,7,81533.63
35,885.98,140660.26,260479.27,294,478.44,1.24,109,23039.47,211.37,45,283518.74
49,860.44,92503.56,166925.62,194,476.82,1.24,58,11359.16,195.85,25,178284.78
51,894.56,145913.42,270158.36,302,483.16,1.26,93,18539.06,199.34,41,288697.42
50,1010.15,128078.24,240415.0,238,538.14,1.4,85,19010.17,223.65,36,259425.16999999998
33,924.83,131626.98,247854.22,268,491.15,1.28,92,21235.51,230.82,37,269089.73
34,899.16,98739.34,187024.35,208,474.71,1.23,66,15219.78,230.6,28,202244.13
40,908.87,187459.38,345372.46,380,493.31,1.28,153,30479.1,199.21,62,375851.56
30,890.73,92408.78,172801.75,194,476.33,1.24,68,13661.78,200.91,27,186463.53
45,939.43,131227.18,257402.79,274,478.93,1.24,114,24890.77,218.34,45,282293.56
40,946.06,133010.64,255435.6,270,492.63,1.28,94,21154.92,225.05,35,276590.52
47,912.43,185029.24,335774.43,368,502.8,1.31,155,35148.74,226.77,57,370923.17
49,887.33,51178.32,97606.2,110,465.26,1.21,61,14422.37,236.43,24,112028.56999999999
51,996.18,10253.4,21915.9,22,466.06,1.21,1,165.99,165.99,1,22081.890000000003
63,927.67,146181.1,291287.56,314,465.54,1.21,143,30829.71,215.59,55,322117.27
56,897.74,60302.84,114910.98,128,471.12,1.22,45,9147.82,203.28,16,124058.79999999999
52,895.26,131513.96,247091.8,276,476.5,1.24,103,22338.6,216.88,42,269430.39999999997
61,909.89,185401.62,351216.99,386,480.32,1.25,159,31939.01,200.87,62,383156.0
60,979.69,97427.08,176343.84,180,541.26,1.41,49,9910.34,202.25,20,186254.18
26,905.79,161128.9,289853.22,320,503.53,1.31,95,20414.38,214.89,44,310267.6
63,1008.16,25309.62,48391.85,48,527.28,1.37,16,2789.66,174.35,8,51181.509999999995
36,917.9,75526.56,137685.62,150,503.51,1.31,46,9718.34,211.27,17,147403.96
49,895.63,81462.22,154047.85,172,473.62,1.23,82,17355.29,211.65,29,171403.14
26,921.15,117236.16,213707.1,232,505.33,1.31,76,17028.62,224.06,29,230735.72
29,913.33,179824.2,343412.89,376,478.26,1.24,137,30111.57,219.79,58,373524.46
36,935.89,76457.66,132896.11,142,538.43,1.4,50,9770.53,195.41,22,142666.63999999998
42,1001.62,42599.12,80129.46,80,532.49,1.38,49,11632.09,237.39,19,91761.55
32,949.02,190270.42,353036.61,372,511.48,1.33,131,25453.08,194.3,51,378489.69
33,928.21,103007.3,185642.21,200,515.04,1.34,67,13463.23,200.94,26,199105.44
43,916.83,18424.48,36673.12,40,460.61,1.2,16,3382.14,211.38,6,40055.26
39,899.84,184886.32,331139.31,368,502.41,1.31,133,28064.06,211.01,58,359203.37
23,982.74,128089.72,239789.66,244,524.96,1.36,89,20152.57,226.43,35,259942.23
34,915.83,145020.82,256431.64,280,517.93,1.35,87,17296.12,198.81,39,273727.76
43,949.85,187068.78,343846.78,362,516.76,1.34,112,23957.96,213.91,46,367804.74000000005
36,995.76,70092.22,125465.72,126,556.29,1.45,38,8541.28,224.77,15,134007.0
36,927.82,84705.06,150306.67,162,522.87,1.36,81,17073.9,210.79,29,167380.57
55,878.63,74086.4,135308.26,154,481.08,1.25,60,13034.85,217.25,25,148343.11000000002
22,898.8,84081.06,150998.83,168,500.48,1.3,45,9941.06,220.91,19,160939.88999999998
60,969.81,65447.92,124135.8,128,511.31,1.33,68,13424.03,197.41,24,137559.83000000002
28,899.78,145632.72,262736.53,292,498.74,1.3,116,24936.48,214.97,46,287673.01
49,927.83,95716.44,167010.2,180,531.76,1.38,72,13730.15,190.7,30,180740.35
28,898.6,54624.26,98846.05,110,496.58,1.29,56,11079.39,197.85,21,109925.44
25,912.9,148011.08,279346.06,306,483.7,1.26,125,23966.21,191.73,49,303312.27
58,918.43,125395.0,235118.61,256,489.82,1.27,92,19575.87,212.78,40,254694.47999999998
42,818.07,37428.9,67081.84,82,456.45,1.19,28,6372.53,227.59,10,73454.37
56,1009.15,23771.72,46420.92,46,516.78,1.34,13,3285.36,252.72,5,49706.28
32,910.44,153020.8,285877.04,314,487.33,1.27,93,22750.33,244.63,41,308627.37
50,952.08,36226.26,72358.23,76,476.66,1.24,23,5138.55,223.42,10,77496.78
43,909.64,84354.0,156458.06,172,490.43,1.27,63,10077.86,159.97,24,166535.91999999998
59,944.79,189777.0,349573.05,370,512.91,1.33,132,30730.65,232.81,50,380303.7
27,934.71,175821.92,323409.4,346,508.16,1.32,126,28717.05,227.91,48,352126.45
33,840.34,70564.36,126050.52,150,470.43,1.22,56,11424.14,204.0,21,137474.66
32,896.17,47796.0,91409.75,102,468.59,1.22,42,9424.86,224.4,15,100834.61
30,866.8,7918.32,13868.84,16,494.9,1.29,3,692.81,230.94,2,14561.65
